latitude,longitude,label
34.965983333333334,-80.760530000000003,3
34.558624999999999,-80.645694999999989,4
35.341313333333339,-80.167566666666673,3
35.201529999999998,-80.812663333333333,3
35.1159775,-80.681597499999995,4
35.703563333333335,-80.457373333333337,3
35.733199999999997,-80.677009999999996,1
35.408539999999995,-79.919557499999996,4
35.534213333333334,-80.333296666666669,3
34.985430000000001,-80.549509999999998,1
35.482109999999999,-80.566367999999997,5
35.050429999999999,-80.305759999999992,2
35.236702000000001,-80.444730000000007,5
34.945243333333337,-79.863573333333321,3
